"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew","save","surv","lagsrtsz","lagforsurv","PptFall","PptWinter","PptSummer","TempFall","TempWinter","TempSummer","InflYesNo","RowNum","TransectNew.num","Year.num"
1,2010,51,0,"W.5","W.5.46",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,585,12,1
2,2020,31,3,"W.5","W.5.46",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,586,12,2
3,2015,46,7,"W.5","W.5.46",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,587,12,3
4,2017,25,29,"W.5","W.5.46",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,588,12,4
5,2004,32,8,"W.5","W.5.46",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,589,12,5
6,2012,25,20,"W.5","W.5.46",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,590,12,6
7,2008,36,12,"W.5","W.5.46",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,591,12,7
8,2004,26,2,"W.5","W.5.46",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,592,12,8
9,2005,38,52,"W.5","W.5.46",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,593,12,9
10,2013,28,15,"W.5","W.5.46",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,594,12,10
11,2003,NA,NA,"W.5","W.5.46",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,595,12,11
12,2012,30,25,"W.5","W.5.46",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,596,12,12
13,2004,NA,NA,"W.5","W.5.46",1,NA,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,597,12,13
14,2013,27,23,"W.5","W.5.46",1,1,2,2,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,598,12,14
15,2010,NA,NA,"W.5","W.5.46",1,NA,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,NA,599,12,15
16,2018,25,15,"W.5","W.5.46",1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,1,600,12,16
17,2003,NA,NA,"W.5","W.5.46",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,601,12,17
18,2005,40,6,"W.5","W.5.46",1,1,2,2,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,602,12,18
19,2014,NA,NA,"W.5","W.5.46",1,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA,603,12,19
20,2020,33,7,"W.5","W.5.46",1,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,604,12,20
1,2010,20,0,"W.3","W.3.47",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,605,10,1
2,2020,13,0,"W.3","W.3.47",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,606,10,2
3,2015,19,0,"W.3","W.3.47",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,607,10,3
4,2017,11,49,"W.3","W.3.47",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,608,10,4
5,2004,NA,NA,"W.3","W.3.47",1,0,0,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,609,10,5
1,2010,25,1,"E.3","E.3.48",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,610,3,1
2,2020,14,0,"E.3","E.3.48",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,611,3,2
3,2015,23,0,"E.3","E.3.48",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,612,3,3
4,2017,11,12,"E.3","E.3.48",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,613,3,4
5,2004,12,0,"E.3","E.3.48",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,614,3,5
6,2012,12,0,"E.3","E.3.48",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,0,615,3,6
7,2008,16,3,"E.3","E.3.48",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,616,3,7
8,2004,NA,NA,"E.3","E.3.48",1,0,0,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,617,3,8
1,2010,32,0,"W.1","W.1.49",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,618,8,1
2,2020,22,0,"W.1","W.1.49",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,619,8,2
3,2015,33,0,"W.1","W.1.49",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,620,8,3
4,2017,17,19,"W.1","W.1.49",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,621,8,4
5,2004,16,30,"W.1","W.1.49",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,622,8,5
6,2012,16,3,"W.1","W.1.49",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,623,8,6
7,2008,23,0,"W.1","W.1.49",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,0,624,8,7
8,2004,25,0,"W.1","W.1.49",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,625,8,8
9,2005,30,5,"W.1","W.1.49",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,626,8,9
10,2013,23,22,"W.1","W.1.49",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,627,8,10
11,2003,NA,NA,"W.1","W.1.49",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,628,8,11
12,2012,22,8,"W.1","W.1.49",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,629,8,12
13,2004,NA,NA,"W.1","W.1.49",1,NA,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,630,8,13
14,2013,19,25,"W.1","W.1.49",1,1,2,2,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,631,8,14
15,2010,NA,NA,"W.1","W.1.49",1,NA,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,NA,632,8,15
16,2018,17,15,"W.1","W.1.49",1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,1,633,8,16
17,2003,NA,NA,"W.1","W.1.49",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,634,8,17
18,2005,26,2,"W.1","W.1.49",1,1,2,2,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,635,8,18
19,2014,NA,NA,"W.1","W.1.49",1,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA,636,8,19
20,2020,21,7,"W.1","W.1.49",1,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,637,8,20
1,2010,37,0,"E.7","E.7.50",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,638,7,1
2,2020,28,4,"E.7","E.7.50",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,639,7,2
3,2015,35,0,"E.7","E.7.50",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,640,7,3
4,2017,18,47,"E.7","E.7.50",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,641,7,4
5,2004,25,15,"E.7","E.7.50",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,642,7,5
6,2012,21,33,"E.7","E.7.50",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,643,7,6
7,2008,29,4,"E.7","E.7.50",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,644,7,7
8,2004,26,0,"E.7","E.7.50",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,645,7,8
9,2005,33,7,"E.7","E.7.50",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,646,7,9
10,2013,24,9,"E.7","E.7.50",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,647,7,10
11,2003,NA,NA,"E.7","E.7.50",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,648,7,11
12,2012,25,10,"E.7","E.7.50",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,649,7,12
13,2004,NA,NA,"E.7","E.7.50",1,0,0,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,650,7,13
1,2010,16,7,"W.4","W.4.51",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,651,11,1
2,2020,16,1,"W.4","W.4.51",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,652,11,2
3,2015,21,12,"W.4","W.4.51",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,653,11,3
4,2017,10,21,"W.4","W.4.51",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,654,11,4
5,2004,7,2,"W.4","W.4.51",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,655,11,5
6,2012,11,7,"W.4","W.4.51",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,656,11,6
7,2008,14,7,"W.4","W.4.51",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,657,11,7
8,2004,10,0,"W.4","W.4.51",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,658,11,8
9,2005,14,15,"W.4","W.4.51",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,659,11,9
10,2013,NA,NA,"W.4","W.4.51",1,0,0,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,NA,660,11,10
1,2010,46,9,"W.4","W.4.52",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,661,11,1
2,2020,30,5,"W.4","W.4.52",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,662,11,2
3,2015,47,19,"W.4","W.4.52",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,663,11,3
4,2017,23,40,"W.4","W.4.52",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,664,11,4
5,2004,32,0,"W.4","W.4.52",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,665,11,5
6,2012,24,22,"W.4","W.4.52",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,666,11,6
7,2008,30,7,"W.4","W.4.52",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,667,11,7
8,2004,32,8,"W.4","W.4.52",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,668,11,8
9,2005,39,48,"W.4","W.4.52",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,669,11,9
10,2013,29,0,"W.4","W.4.52",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,0,670,11,10
11,2003,NA,NA,"W.4","W.4.52",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,671,11,11
12,2012,24,36,"W.4","W.4.52",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,672,11,12
13,2004,NA,NA,"W.4","W.4.52",1,NA,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,673,11,13
14,2013,28,24,"W.4","W.4.52",1,1,2,2,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,674,11,14
15,2010,NA,NA,"W.4","W.4.52",1,NA,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,NA,675,11,15
16,2018,24,6,"W.4","W.4.52",1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,1,676,11,16
17,2003,NA,NA,"W.4","W.4.52",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,677,11,17
18,2005,35,0,"W.4","W.4.52",1,1,2,2,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,0,678,11,18
19,2014,NA,NA,"W.4","W.4.52",1,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA,679,11,19
20,2020,32,5,"W.4","W.4.52",1,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,680,11,20
1,2010,25,4,"W.1","W.1.53",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,681,8,1
2,2020,18,4,"W.1","W.1.53",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,682,8,2
3,2015,NA,NA,"W.1","W.1.53",1,0,0,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,NA,683,8,3
1,2010,18,0,"E.3","E.3.54",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,684,3,1
2,2020,12,0,"E.3","E.3.54",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,685,3,2
3,2015,20,0,"E.3","E.3.54",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,686,3,3
4,2017,13,0,"E.3","E.3.54",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,0,687,3,4
5,2004,10,0,"E.3","E.3.54",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,688,3,5
6,2012,11,10,"E.3","E.3.54",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,689,3,6
7,2008,NA,NA,"E.3","E.3.54",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA,690,3,7
1,2010,10,0,"W.1","W.1.55",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,691,8,1
2,2020,2,0,"W.1","W.1.55",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,692,8,2
3,2015,7,0,"W.1","W.1.55",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,693,8,3
4,2017,4,0,"W.1","W.1.55",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,0,694,8,4
5,2004,5,2,"W.1","W.1.55",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,695,8,5
6,2012,8,0,"W.1","W.1.55",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,0,696,8,6
7,2008,5,0,"W.1","W.1.55",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,0,697,8,7
8,2004,2,0,"W.1","W.1.55",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,698,8,8
9,2005,6,2,"W.1","W.1.55",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,699,8,9
10,2013,NA,NA,"W.1","W.1.55",1,0,0,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,NA,700,8,10
1,2010,46,5,"E.2","E.2.56",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,701,2,1
2,2020,29,1,"E.2","E.2.56",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,702,2,2
3,2015,43,9,"E.2","E.2.56",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,703,2,3
4,2017,25,24,"E.2","E.2.56",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,704,2,4
5,2004,27,7,"E.2","E.2.56",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,705,2,5
6,2012,22,15,"E.2","E.2.56",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,706,2,6
7,2008,33,18,"E.2","E.2.56",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,707,2,7
8,2004,29,0,"E.2","E.2.56",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,708,2,8
9,2005,38,24,"E.2","E.2.56",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,709,2,9
10,2013,NA,NA,"E.2","E.2.56",1,0,0,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,NA,710,2,10
1,2010,48,5,"E.4","E.4.57",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,711,4,1
2,2020,30,14,"E.4","E.4.57",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,712,4,2
3,2015,45,13,"E.4","E.4.57",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,713,4,3
4,2017,24,47,"E.4","E.4.57",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,714,4,4
5,2004,28,35,"E.4","E.4.57",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,715,4,5
6,2012,28,8,"E.4","E.4.57",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,716,4,6
7,2008,34,7,"E.4","E.4.57",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,717,4,7
8,2004,30,0,"E.4","E.4.57",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,718,4,8
9,2005,44,5,"E.4","E.4.57",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,719,4,9
10,2013,29,0,"E.4","E.4.57",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,0,720,4,10
11,2003,NA,NA,"E.4","E.4.57",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,721,4,11
12,2012,26,20,"E.4","E.4.57",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,722,4,12
13,2004,NA,NA,"E.4","E.4.57",1,NA,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,723,4,13
14,2013,29,31,"E.4","E.4.57",1,1,2,2,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,724,4,14
15,2010,NA,NA,"E.4","E.4.57",1,NA,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,NA,725,4,15
16,2018,21,23,"E.4","E.4.57",1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,1,726,4,16
17,2003,NA,NA,"E.4","E.4.57",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,727,4,17
18,2005,41,20,"E.4","E.4.57",1,1,2,2,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,728,4,18
19,2014,NA,NA,"E.4","E.4.57",1,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA,729,4,19
20,2020,34,0,"E.4","E.4.57",1,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,730,4,20
1,2010,27,1,"E.6","E.6.58",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,731,6,1
2,2020,22,11,"E.6","E.6.58",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,732,6,2
3,2015,29,8,"E.6","E.6.58",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,733,6,3
4,2017,14,0,"E.6","E.6.58",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,0,734,6,4
5,2004,18,20,"E.6","E.6.58",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,735,6,5
6,2012,17,9,"E.6","E.6.58",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,736,6,6
7,2008,25,1,"E.6","E.6.58",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,737,6,7
8,2004,14,0,"E.6","E.6.58",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,738,6,8
9,2005,26,13,"E.6","E.6.58",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,739,6,9
10,2013,20,15,"E.6","E.6.58",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,740,6,10
11,2003,NA,NA,"E.6","E.6.58",1,0,0,1,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,741,6,11
1,2010,20,2,"E.1","E.1.59",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,742,1,1
2,2020,14,0,"E.1","E.1.59",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,743,1,2
3,2015,22,0,"E.1","E.1.59",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,744,1,3
4,2017,NA,NA,"E.1","E.1.59",1,0,0,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,NA,745,1,4
1,2010,17,0,"W.3","W.3.60",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,746,10,1
2,2020,11,0,"W.3","W.3.60",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,747,10,2
3,2015,12,5,"W.3","W.3.60",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,748,10,3
4,2017,NA,NA,"W.3","W.3.60",1,0,0,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,NA,749,10,4
1,2010,24,9,"E.6","E.6.61",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,750,6,1
2,2020,17,9,"E.6","E.6.61",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,751,6,2
3,2015,24,0,"E.6","E.6.61",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,752,6,3
4,2017,14,0,"E.6","E.6.61",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,0,753,6,4
5,2004,16,5,"E.6","E.6.61",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,754,6,5
6,2012,13,0,"E.6","E.6.61",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,0,755,6,6
7,2008,19,9,"E.6","E.6.61",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,756,6,7
8,2004,14,0,"E.6","E.6.61",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,757,6,8
9,2005,NA,NA,"E.6","E.6.61",1,0,0,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,NA,758,6,9
1,2010,27,0,"W.1","W.1.62",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,759,8,1
2,2020,19,6,"W.1","W.1.62",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,760,8,2
3,2015,29,0,"W.1","W.1.62",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,761,8,3
4,2017,17,5,"W.1","W.1.62",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,762,8,4
5,2004,17,0,"W.1","W.1.62",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,763,8,5
6,2012,NA,NA,"W.1","W.1.62",1,0,0,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,NA,764,8,6
1,2010,21,0,"W.2","W.2.63",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,765,9,1
2,2020,15,0,"W.2","W.2.63",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,766,9,2
3,2015,23,0,"W.2","W.2.63",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,767,9,3
4,2017,13,0,"W.2","W.2.63",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,0,768,9,4
5,2004,11,11,"W.2","W.2.63",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,769,9,5
6,2012,15,2,"W.2","W.2.63",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,770,9,6
7,2008,18,7,"W.2","W.2.63",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,771,9,7
8,2004,14,0,"W.2","W.2.63",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,772,9,8
9,2005,21,0,"W.2","W.2.63",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,0,773,9,9
10,2013,16,3,"W.2","W.2.63",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,774,9,10
11,2003,NA,NA,"W.2","W.2.63",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,775,9,11
